,ecosystem,species,year,biomass,abundance,biomass_index,abundance_index,avg_len,avg_mass,source,agency,season,species_lower
473,CB,Spot,2002,0.15419210686,,,1465.250629,0.17775707686,0.10626565875,ChesMMAP_Survey,VIMS,Jul-Nov,spot
474,CB,Spot,2003,0.14335949209,,,1328.1355761,0.18475541274,0.13234388009,ChesMMAP_Survey,VIMS,Jul-Nov,spot
475,CB,Spot,2004,0.35048554737,,,3026.9969661,0.17211466091,0.10045224814,ChesMMAP_Survey,VIMS,Jul-Nov,spot
476,CB,Spot,2005,0.70110930675,,,7651.370007,0.16326219449,0.088173550002,ChesMMAP_Survey,VIMS,Jul-Nov,spot
477,CB,Spot,2006,0.33602652987,,,3223.4602805,0.17301269238,0.094807203894,ChesMMAP_Survey,VIMS,Jul-Nov,spot
478,CB,Spot,2007,0.50561491765,,,5690.5224239,0.1589092959,0.077009005256,ChesMMAP_Survey,VIMS,Jul-Nov,spot
479,CB,Spot,2008,0.30334974459,,,4188.0489582,0.15241754938,0.066883902392,ChesMMAP_Survey,VIMS,Jul-Nov,spot
480,CB,Spot,2009,0.24458803307,,,2770.0964648,0.18738208757,0.14301725985,ChesMMAP_Survey,VIMS,Jul-Nov,spot
481,CB,Spot,2010,0.1646467511,,,3683.8670207,0.12519782514,0.037101674008,ChesMMAP_Survey,VIMS,Jul-Nov,spot
505,CB,Striped_bass,2002,0.37857396059,,,612.70238032,0.28873509934,0.47494605803,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
506,CB,Striped_bass,2003,0.4415958958,,,683.40689298,0.31532302405,0.68273802978,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
507,CB,Striped_bass,2004,0.31634736841,,,851.57405634,0.25144298246,0.23058134921,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
508,CB,Striped_bass,2005,0.62387400561,,,703.63299769,0.34265594059,0.68023345317,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
509,CB,Striped_bass,2006,0.46812092297,,,748.24318495,0.32949367089,0.548057173,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
510,CB,Striped_bass,2007,0.72617663948,,,623.78257132,0.41041059603,1.312684989,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
511,CB,Striped_bass,2008,0.54660947776,,,576.86527304,0.31871875,0.61365391865,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
512,CB,Striped_bass,2009,0.3804958884,,,422.05819509,0.36006081081,0.78681231231,ChesMMAP_Survey,VIMS,Nov-Mar,striped_bass
535,CB,Summer_flounder,2002,0.20102610008,,,365.40109663,0.3263364486,0.47222629617,ChesMMAP_Survey,VIMS,Sep-Nov,summer_flounder
536,CB,Summer_flounder,2003,0.12322960007,,,227.62822493,0.33992915531,0.56344831705,ChesMMAP_Survey,VIMS,Sep-Nov,summer_flounder
537,CB,Summer_flounder,2004,0.098195812323,,,247.93262388,0.27536182903,0.41908539872,ChesMMAP_Survey,VIMS,Sep-Nov,summer_flounder
538,CB,Summer_flounder,2005,0.16613132626,,,335.74241548,0.31964637002,0.4232929222,ChesMMAP_Survey,VIMS,Sep-Nov,summer_flounder
539,CB,Summer_flounder,2006,0.20577951939,,,492.74893002,0.29708170515,0.34523116883,ChesMMAP_Survey,VIMS,Sep-Nov,summer_flounder
