https://www.akc.org/expert-advice/nutrition/breed-weight-chart/
Breed	Weight Male	Weight Female
Affenpinschers	7-10 pounds	7-10 pounds
Afghan Hounds	50-60 pounds	50-60 pounds
Airedale Terriers	50-70 pounds	50-70 pounds
Akitas	100-130 pounds	70-100 pounds
Alaskan Malamutes	85 pounds	75 pounds
American English Coonhounds	45-65 pounds	45-65 pounds
American Eskimo Dogs	6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)	6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)
American Foxhounds	65-70 pounds	60-65 pounds
American Hairless Terriers	12-16 pounds	12-16 pounds
American Staffordshire Terriers	55-70 pounds	40-55 pounds
Anatolian Shepherd Dogs	110-150 pounds	80-120 pounds
Australian Cattle Dogs	35-50 pounds	35-50 pounds
Australian Shepherds	50-65 pounds	40-55 pounds
Australian Terriers	12-18 pounds	12-18 pounds
Basenjis	24 pounds	22 pounds
Basset Hounds	40-65 pounds	40-65 pounds
Beagles	under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)	under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)
Bearded Collies	45-55 pounds	45-55 pounds
Beaucerons	70-110 pounds	70-110 pounds
Bedlington Terriers	17-23 pounds	17-23 pounds
Belgian Malinois	60-80 pounds	40-60 pounds
Belgian Sheepdogs	55-75 pounds	45-60 pounds
Belgian Tervuren	55-75 pounds	45-60 pounds
Bergamasco	70-84 pounds	57-71 pounds
Berger Picards	50-70 pounds	50-70 pounds
Bernese Mountain Dogs	80-115 pounds	70-95 pounds
Bichons Frises	12-18 pounds	12-18 pounds
Black and Tan Coonhounds	65-110 pounds	65-110 pounds
Black Russian Terriers	80-130 pounds	80-130 pounds
Bloodhounds	90-110 pounds	80-100 pounds
Bluetick Coonhounds	55-80 pounds	45-65 pounds
Boerboels	150-200 pounds	150-200 pounds
Border Collies	30-55 pounds	30-55 pounds
Border Terriers	13-15.5 pounds	11.5-14 pounds
Borzois	75-105 pounds	60-85 pounds
Boston Terriers	12-25 pounds	12-25 pounds
Bouviers des Flandres	70-110 pounds	70-110 pounds
Boxers	65-80 pounds	15 pounds less than male
Briards	55-100 pounds	55-100 pounds
Brittanys	30-40 pounds	30-40 pounds
Brussels Griffons	8-10 pounds	8-10 pounds
Bull Terriers	50-70 pounds	50-70 pounds
Bulldogs	50 pounds	40 pounds
Bullmastiffs	110-130 pounds	100-120 pounds
Cairn Terriers	14 pounds	13 pounds
Canaan Dogs	45-55 pounds	35-45 pounds
Cane Corso	Proportionate to height	Proportionate to height
Cardigan Welsh Corgis	30-38 pounds	25-34 pounds
Cavalier King Charles Spaniels	13-18 pounds	13-18 pounds
Cesky Terriers	14-24 pounds	14-24 pounds
Chihuahuas	not exceeding 6 pounds	not exceeding 6 pounds
Chinese Crested	8-12 pounds	8-12 pounds
Chinese Shar-Pei	45-60 pounds	45-60 pounds
Chinooks	55-90 pounds	50-65 pounds
Chow Chows	45-70 pounds	45-70 pounds
Cirnechi dell'Etna	22-26 pounds	17-22 pounds
Collies	60-75 pounds	50-65 pounds
Coton de Tulear	9-15 pounds	8-13 pounds
Dachshunds	16-32 pounds (standard), 11 pounds & under (miniature)	16-32 pounds (standard), 11 pounds & under (miniature)
Dalmatians	45-70 pounds	45-70 pounds
Dandie Dinmont Terriers	18-24 pounds	18-24 pounds
Doberman Pinschers	75-100 pounds	60-90 pounds
Dogues de Bordeaux	110 pounds & up	99 pounds & up
English Foxhounds	60-75 pounds	60-75 pounds
English Toy Spaniels	8-14 pounds	8-14 pounds
Entlebucher Mountain Dogs	55-65 pounds	55-65 pounds
Finnish Lapphunds	33-53 pounds	33-53 pounds
Finnish Spitz	25-33 pounds	20-28 pounds
Fox Terriers (Smooth)	18 pounds in show condition	two pounds less than male
Fox Terriers (Wire)	18 pounds in show condition	two pounds less than male
French Bulldogs	under 28 pounds	under 28 pounds
German Pinschers	25-45 pounds	25-45 pounds
German Shepherd Dogs	65-90 pounds	50-70 pounds
Giant Schnauzers	60-85 pounds	55-75 pounds
Glen of Imaal Terriers	32-40 pounds	32-40 pounds
Great Danes	140-175 pounds	110-140 pounds
Great Pyrenees	100 pounds & up	85 pounds & up
Greater Swiss Mountain Dogs	115-140 pounds	85-110 pounds
Greyhounds	65-70 pounds	60-65 pounds
Harriers	45-60 pounds	45-60 pounds
Havanese	7-13 pounds	7-13 pounds
Ibizan Hounds	50 pounds	45 pounds
Icelandic Sheepdogs	30 pounds	25 pounds
Irish Terriers	27 pounds	25 pounds
Irish Wolfhounds	120 pounds	105 pounds
Italian Greyhounds	7-14 pounds	7-14 pounds
Japanese Chin	7-11 pounds	7-11 pounds
Keeshonden	35-45 pounds	35-45 pounds
Kerry Blue Terriers	33-40 pounds	females weigh slightly less than males
Komondorok	100 pounds or more	80 pounds or more
Kuvaszok	100-115 pounds	70-90 pounds
Lagotti Romagnoli	28.5-35 pounds	24-31 pounds
Lakeland Terriers	17 pounds	slightly smaller
Leonbergers	110-170 pounds	90-140 pounds
Lhasa Apsos	12-18 pounds	12-18 pounds
Lowchen	15 pounds	15 pounds
Maltese	under 7 pounds	under 7 pounds
Manchester Terriers	under 12 pounds (toy), 12-22 pounds (standard)	under 12 pounds (toy), 12-22 pounds (standard)
Mastiffs	160-230 pounds	120-170 pounds
Miniature American Shepherds	20-40 pounds	20-40 pounds
Miniature Bull Terriers	18-28 pounds	18-28 pounds
Miniature Pinschers	8-10 pounds	8-10 pounds
Miniature Schnauzers	11-20 pounds	11-20 pounds
Neapolitan Mastiffs	150 pounds	110 pounds
Newfoundlands	130-150 pounds	100-120 pounds
Norfolk Terriers	11-12 pounds	11-12 pounds
Norwegian Buhunds	31-40 pounds	26-35 pounds
Norwegian Elkhounds	55 pounds	48 pounds
Norwegian Lundehunds	20-30 pounds	20-30 pounds
Norwich Terriers	12 pounds	12 pounds
Old English Sheepdogs	60-100 pounds	60-100 pounds
Otterhounds	115 pounds	80 pounds
Papillons	5-10 pounds	5-10 pounds
Parson Russell Terriers	13-17 pounds	13-17 pounds
Pekingese	up to 14 pounds	up to 14 pounds
Pembroke Welsh Corgis	up to 30 pounds	up to 28 pounds
Petits Bassets Griffons Vendeens	25-40 pounds	25-40 pounds
Pharaoh Hounds	45-55 pounds	45-55 pounds
Plotts	50-60 pounds	40-55 pounds
Pointers	55-75 pounds	45-65 pounds
Pointers (German Shorthaired)	55-70 pounds	45-60 pounds
Pointers (German Wirehaired)	50-70 pounds	50-70 pounds
Polish Lowland Sheepdogs	30-50 pounds	30-50 pounds
 
Pomeranians	3-7 pounds	3-7 pounds
Poodles	4-6 pounds (toy), 10-15 pounds (miniature), 60-70 pounds (male standard)	4-6 pounds (toy), 10-15 pounds (miniature), 40-50 pounds (female standard)
Portuguese Podengo Pequenos	9-13 pounds	9-13 pounds
Portuguese Water Dogs	42-60 pounds	35-50 pounds
Pugs	14-18 pounds	14-18 pounds
Pulik	25-35 pounds	25-35 pounds
Pumik	27-29 pounds	22-24 pounds
Pyrenean Shepherds	15-30 pounds	15-30 pounds
Rat Terriers	10-25 pounds	10-25 pounds
Redbone Coonhounds	45-70 pounds	45-70 pounds
Retrievers (Chesapeake Bay)	65-80 pounds	55-70 pounds
Retrievers (Curly-Coated)	60-95 pounds	60-95 pounds
Retrievers (Flat-Coated)	60-70 pounds	60-70 pounds
Retrievers (Golden)	65-75 pounds	55-65 pounds
Retrievers (Labrador)	65-80 pounds	55-70 pounds
Retrievers (Nova Scotia Duck Tolling)	35-50 pounds	35-50 pounds
Rhodesian Ridgebacks	85 pounds	70 pounds
Rottweilers	95-135 pounds	80-100 pounds
Russell Terriers	9-15 pounds	9-15 pounds
Salukis	40-65 pounds	40-65 pounds
Samoyeds	45-65 pounds	35-50 pounds
Schipperkes	10-16 pounds	10-16 pounds
Scottish Deerhounds	85-110 pounds	75-95 pounds
Scottish Terriers	19-22 pounds	18-21 pounds
Sealyham Terriers	23-24 pounds	slightly less
Setters (English)	65-80 pounds	45-55 pounds
Setters (Gordon)	55-80 pounds	45-70 pounds
Setters (Irish Red and White)	42-60 pounds	35-50 pounds
Setters (Irish)	70 pounds	60 pounds
Shetland Sheepdogs	15-25 pounds	15-25 pounds
Shiba Inu	23 pounds	17 pounds
Shih Tzu	9-16 pounds	9-16 pounds
Siberian Huskies	45-60 pounds	35-50 pounds
Silky Terriers	around 10 pounds	around 10 pounds
Skye Terriers	35-45 pounds	slightly lighter
Sloughis	35-50 pounds	35-50 pounds
Soft Coated Wheaten Terriers	35-40 pounds	30-35 pounds
Spaniels (American Water)	30-45 pounds	25-40 pounds
Spaniels (Boykin)	30-40 pounds	25-35 pounds
Spaniels (Clumber)	70-85 pounds	55-70 pounds
Spaniels (English Cocker)	28-34 pounds	26-32 pounds
Spaniels (English Springer)	50 pounds	40 pounds
Spaniels (Field)	35-50 pounds	35-50 pounds
Spaniels (Irish Water)	55-68 pounds	45-58 pounds
Spaniels (Sussex)	35-45 pounds	35-45 pounds
Spaniels (Welsh Springer)	40-55 pounds	35-50 pounds
Spanish Water Dogs	40-49 pounds	31-40 pounds
Spinoni Italiani	56 pounds	56 pounds
St. Bernards	140-180 pounds	120-140 pounds
Staffordshire Bull Terriers	28-38 pounds	24 to 34 pounds
Standard Schnauzers	35-50 pounds	30-45 pounds
Swedish Vallhunds	20-35 pounds	20-35 pounds
