https://www.petcare.com.au/dog-breed-weight-chart/
Breed Name	Male	Female
Affenpinschers	3 – 5Kg	3 – 5Kg
Afghan Hounds	23 – 27Kg	23 – 27Kg
Airedale Terriers	23 – 32Kg	23 – 32Kg
Akitas	45 – 59Kg	32 – 45Kg
Alaskan Malamutes	39 – 0Kg	34 – 0Kg
American English Coonhounds	20 – 29Kg	20 – 29Kg
American Eskimo Dogs	3 – 5Kg	3 – 5Kg
American Foxhounds	29 – 32Kg	27 – 29Kg
American Hairless Terriers	5 – 7Kg	5 – 7Kg
American Staffordshire Terriers	25 – 32Kg	18 – 25Kg
Anatolian Shepherd Dogs	50 – 68Kg	36 – 54Kg
Australian Cattle Dog	15-28Kg	15-22Kg
Australian Shepherds	23 – 29Kg	18 – 25Kg
Australian Terriers	5 – 8Kg	5 – 8Kg
Basenjis	11Kg	10Kg
Basset Hounds	18 – 29Kg	18 – 29Kg
Beagles (30cm under)	Under 9Kg	Under 9Kg
Beagles (30 – 40cm)	9 – 14Kg	9 – 14Kg
Bearded Collies	20 – 25Kg	20 – 25Kg
Beaucerons	32 – 50Kg	32 – 50Kg
Bedlington Terriers	8 – 10Kg	8 – 10Kg
Belgian Malinois	27 – 36Kg	18 – 27Kg
Belgian Sheepdogs	25 – 34Kg	20 – 27Kg
Belgian Tervuren	25 – 34Kg	20 – 27Kg
Bergamasco	32 – 38Kg	26 – 32Kg
Berger Picards	23 – 32Kg	23 – 32Kg
Bernese Mountain Dogs	36 – 52Kg	32 – 43Kg
Bichons Frises	5 – 8Kg	5 – 8Kg
Black and Tan Coonhounds	29 – 50Kg	29 – 50Kg
Black Russian Terriers	36 – 59Kg	36 – 59Kg
Bloodhounds	41 – 50Kg	36 – 5Kg
Bluetick Coonhounds	25 – 36Kg	20 – 29Kg
Boerboels	68 – 91Kg	68 – 91Kg
Border Collies	14 – 25Kg	14 – 25Kg
Border Terriers	6 – 7Kg	5 – 6Kg
Borzois	34 – 48Kg	27 – 39Kg
Boston Terriers	5 – 11Kg	5 – 11Kg
Bouviers des Flandres	32 – 50Kg	32 – 50Kg
Boxers	29 – 36Kg	23 – 29Kg
Briards	25 – 45Kg	25 – 45Kg
Brittanys	14 – 18Kg	14 – 18Kg
Brussels Griffons	4 – 5Kg	4 – 5Kg
Bull mastiff	50 – 59Kg	41 – 50Kg
Bull Terriers	23 – 32Kg	23 – 32Kg
Bulldog- British	24 – 25Kg	22 – 23Kg
Bulldog- French	12 – 15Kg	10 – 11Kg
Bulldogs	23 – 0Kg	18 – 0Kg
Bullmastiffs	50 – 59Kg	45 – 54Kg
Cairn Terriers	6Kg	6Kg
Canaan Dogs	20 – 25Kg	16 – 20Kg
Cardigan Welsh Corgis	14 – 17Kg	11 – 15Kg
Cavalier King Charles Spaniel	5 – 9Kg	5 – 8Kg
Cesky Terriers	6 – 11Kg	6 – 11Kg
Chihuahua	1.5 – 3Kg	1.5 – 3Kg
Chinese Crested	4 – 5Kg	4 – 5Kg
Chinese Shar-Pei	20 – 27Kg	20 – 27Kg
Chinooks	25 – 41Kg	23 – 29Kg
Chow Chows	20 – 32Kg	20 – 32Kg
Cirnechi dell’Etna	10 – 12Kg	8 – 10Kg
Cocker Spaniel	13 – 16Kg	12 – 15Kg
Collies	27 – 34Kg	23 – 29Kg
Coton de Tulear	4 – 7Kg	4 – 6Kg
Dalmatians	20 – 32Kg	20 – 32Kg
Dandie Dinmont Terriers	8 – 11Kg	8 – 11Kg
Daschund-miniature	4 – 5Kg	4 – 5Kg
Daschund-standard	7 -14Kg	7 – 14Kg
Doberman Pinscher	34 – 41Kg	29 – 36Kg
Doberman Pinschers	34 – 45Kg	27 – 41Kg
Dogues de Bordeaux	50Kg +	45Kg +
English Foxhounds	27 – 34Kg	27 – 34Kg
English Springer Spaniel	20 – 25Kg	18 – 23Kg
English Toy Spaniels	4 – 6Kg	4 – 6Kg
Entlebucher Mountain Dogs	25 – 29Kg	25 – 29Kg
Finnish Lapphunds	15 – 24Kg	15 – 24Kg
