,ecosystem,species,year,biomass,biomass_SE,abundance,abundance_SE,biomass_index,biomass_index_SE,abundance_index,abundance_index_units,abundance_index_SE,avg_len,avg_mass,source,agency,season
0,CB,American_eel_age-1+,1988,,,,,,,1.26,no./5min_tow,,0.3055,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
1,CB,American_eel_age-1+,1989,,,,,,,7.93,no./5min_tow,,0.2921,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
2,CB,American_eel_age-1+,1990,,,,,,,4.85,no./5min_tow,,0.2701,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
3,CB,American_eel_age-1+,1991,,,,,,,2.06,no./5min_tow,,0.2616,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
4,CB,American_eel_age-1+,1992,,,,,,,8.29,no./5min_tow,,0.2516,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
5,CB,American_eel_age-1+,1993,,,,,,,3.56,no./5min_tow,,0.2431,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
6,CB,American_eel_age-1+,1994,,,,,,,2.23,no./5min_tow,,0.2511,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
7,CB,American_eel_age-1+,1995,,,,,,,2.69,no./5min_tow,,0.2477,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
8,CB,American_eel_age-1+,1996,,,,,,,2.57,no./5min_tow,,0.2578,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
9,CB,American_eel_age-1+,1997,,,,,,,2.29,no./5min_tow,,0.2763,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
10,CB,American_eel_age-1+,1998,,,,,,,2.0,no./5min_tow,,0.2636,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
11,CB,American_eel_age-1+,1999,,,,,,,1.25,no./5min_tow,,0.2896,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
12,CB,American_eel_age-1+,2000,,,,,,,1.42,no./5min_tow,,0.2986,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
13,CB,American_eel_age-1+,2001,,,,,,,0.79,no./5min_tow,,0.3229,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
