,ecosystem,species,year,biomass,abundance,biomass_index,abundance_index,avg_len,avg_mass,source,agency,season
0,CB,American_eel_age-1+,1988,,,,1.26,0.3055,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
1,CB,American_eel_age-1+,1989,,,,7.93,0.2921,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
2,CB,American_eel_age-1+,1990,,,,4.85,0.2701,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
3,CB,American_eel_age-1+,1991,,,,2.06,0.2616,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
4,CB,American_eel_age-1+,1992,,,,8.29,0.2516,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
5,CB,American_eel_age-1+,1993,,,,3.56,0.2431,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
6,CB,American_eel_age-1+,1994,,,,2.23,0.2511,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
7,CB,American_eel_age-1+,1995,,,,2.69,0.2477,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
8,CB,American_eel_age-1+,1996,,,,2.57,0.2578,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
9,CB,American_eel_age-1+,1997,,,,2.29,0.2763,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
10,CB,American_eel_age-1+,1998,,,,2.0,0.2636,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
11,CB,American_eel_age-1+,1999,,,,1.25,0.2896,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
12,CB,American_eel_age-1+,2000,,,,1.42,0.2986,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
13,CB,American_eel_age-1+,2001,,,,0.79,0.3229,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
14,CB,American_eel_age-1+,2002,,,,0.8,0.3427,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
15,CB,American_eel_age-1+,2003,,,,0.79,0.3191,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
16,CB,American_eel_age-1+,2004,,,,0.43,0.3287,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
17,CB,American_eel_age-1+,2005,,,,0.35,0.3206,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
18,CB,American_eel_age-1+,2006,,,,0.15,0.3294,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
19,CB,American_eel_age-1+,2007,,,,0.22,0.3191,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
20,CB,American_eel_age-1+,2008,,,,0.25,0.3131,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
21,CB,American_eel_age-1+,2009,,,,0.57,0.308,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
22,CB,American_eel_age-1+,2010,,,,0.41,0.3292,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
23,CB,Atlantic_croaker,1988,,,,0.36,0.1355,,VIMS_Juvenile_Trawl,VIMS,May-Aug
24,CB,Atlantic_croaker,1989,,,,0.65,0.1296,,VIMS_Juvenile_Trawl,VIMS,May-Aug
25,CB,Atlantic_croaker,1990,,,,0.48,0.1462,,VIMS_Juvenile_Trawl,VIMS,May-Aug
26,CB,Atlantic_croaker,1991,,,,4.12,0.1384,,VIMS_Juvenile_Trawl,VIMS,May-Aug
27,CB,Atlantic_croaker,1992,,,,1.17,0.1312,,VIMS_Juvenile_Trawl,VIMS,May-Aug
28,CB,Atlantic_croaker,1993,,,,1.98,0.1251,,VIMS_Juvenile_Trawl,VIMS,May-Aug
29,CB,Atlantic_croaker,1994,,,,0.86,0.1378,,VIMS_Juvenile_Trawl,VIMS,May-Aug
30,CB,Atlantic_croaker,1995,,,,0.95,0.1397,,VIMS_Juvenile_Trawl,VIMS,May-Aug
31,CB,Atlantic_croaker,1996,,,,0.19,0.1341,,VIMS_Juvenile_Trawl,VIMS,May-Aug
32,CB,Atlantic_croaker,1997,,,,1.47,0.1193,,VIMS_Juvenile_Trawl,VIMS,May-Aug
33,CB,Atlantic_croaker,1998,,,,1.19,0.1164,,VIMS_Juvenile_Trawl,VIMS,May-Aug
34,CB,Atlantic_croaker,1999,,,,1.5,0.144,,VIMS_Juvenile_Trawl,VIMS,May-Aug
35,CB,Atlantic_croaker,2000,,,,0.6,0.1431,,VIMS_Juvenile_Trawl,VIMS,May-Aug
36,CB,Atlantic_croaker,2001,,,,0.37,0.1419,,VIMS_Juvenile_Trawl,VIMS,May-Aug
37,CB,Atlantic_croaker,2002,,,,1.59,0.1403,,VIMS_Juvenile_Trawl,VIMS,May-Aug
38,CB,Atlantic_croaker,2003,,,,0.49,0.1593,,VIMS_Juvenile_Trawl,VIMS,May-Aug
