,ecosystem,species,year,landings_biomass,landings_abund,landings_biomass_index,landings_abund_index,avg_len,avg_mass,source,agency,season
0,GB,Atlantic_herring,1993,0.430273456,,,,,,CFDBS,NMFS/NEFSC,nd
1,GB,Atlantic_herring,1994,0.297366773,,,,,,CFDBS,NMFS/NEFSC,nd
2,GB,Atlantic_herring,1995,0.328735048,,,,,,CFDBS,NMFS/NEFSC,nd
3,GB,Atlantic_herring,1996,0.781347847,,,,,,CFDBS,NMFS/NEFSC,nd
4,GB,Atlantic_herring,1997,0.398372043,,,,,,CFDBS,NMFS/NEFSC,nd
5,GB,Atlantic_herring,1998,0.309456836,,,,,,CFDBS,NMFS/NEFSC,nd
6,GB,Atlantic_herring,1999,0.210939019,,,,,,CFDBS,NMFS/NEFSC,nd
7,GB,Atlantic_herring,2000,0.797976138,,,,,,CFDBS,NMFS/NEFSC,nd
8,GB,Atlantic_herring,2001,0.430585023,,,,,,CFDBS,NMFS/NEFSC,nd
9,GB,Atlantic_herring,2002,0.254590759,,,,,,CFDBS,NMFS/NEFSC,nd
10,GB,Atlantic_herring,2003,0.524303795,,,,,,CFDBS,NMFS/NEFSC,nd
11,GB,Atlantic_herring,2004,0.221984772,,,,,,CFDBS,NMFS/NEFSC,nd
12,GB,Atlantic_herring,2005,0.251772503,,,,,,CFDBS,NMFS/NEFSC,nd
13,GB,Atlantic_herring,2006,0.035397045,,,,,,CFDBS,NMFS/NEFSC,nd
14,GB,Atlantic_herring,2007,0.055311744,,,,,,CFDBS,NMFS/NEFSC,nd
15,GB,Atlantic_herring,2008,0.02327139,,,,,,CFDBS,NMFS/NEFSC,nd
16,GB,Atlantic_mackerel,1963,0.039608054,,,,,,CFDBS,NMFS/NEFSC,nd
17,GB,Atlantic_mackerel,1964,0.283939263,,,,,,CFDBS,NMFS/NEFSC,nd
18,GB,Atlantic_mackerel,1965,0.343304769,,,,,,CFDBS,NMFS/NEFSC,nd
19,GB,Atlantic_mackerel,1966,0.473228997,,,,,,CFDBS,NMFS/NEFSC,nd
20,GB,Atlantic_mackerel,1967,0.114227519,,,,,,CFDBS,NMFS/NEFSC,nd
21,GB,Atlantic_mackerel,1968,0.24644456,,,,,,CFDBS,NMFS/NEFSC,nd
22,GB,Atlantic_mackerel,1969,0.369630938,,,,,,CFDBS,NMFS/NEFSC,nd
23,GB,Atlantic_mackerel,1970,1.126421398,,,,,,CFDBS,NMFS/NEFSC,nd
24,GB,Atlantic_mackerel,1971,0.029425782,,,,,,CFDBS,NMFS/NEFSC,nd
25,GB,Atlantic_mackerel,1972,0.887109052,,,,,,CFDBS,NMFS/NEFSC,nd
26,GB,Atlantic_mackerel,1973,0.457158115,,,,,,CFDBS,NMFS/NEFSC,nd
27,GB,Atlantic_mackerel,1974,0.807230665,,,,,,CFDBS,NMFS/NEFSC,nd
28,GB,Atlantic_mackerel,1975,4.746627338,,,,,,CFDBS,NMFS/NEFSC,nd
29,GB,Atlantic_mackerel,1976,1.800024977,,,,,,CFDBS,NMFS/NEFSC,nd
30,GB,Atlantic_mackerel,1977,0.006891638,,,,,,CFDBS,NMFS/NEFSC,nd
31,GB,Atlantic_mackerel,1978,0.077727617,,,,,,CFDBS,NMFS/NEFSC,nd
32,GB,Atlantic_mackerel,1979,0.122757486,,,,,,CFDBS,NMFS/NEFSC,nd
33,GB,Atlantic_mackerel,1980,0.060195703,,,,,,CFDBS,NMFS/NEFSC,nd
34,GB,American_plaice,1963,0.007724622,,,,,,CFDBS,NMFS/NEFSC,nd
35,GB,American_plaice,1964,0.014808092,,,,,,CFDBS,NMFS/NEFSC,nd
36,GB,American_plaice,1965,0.003128034,,,,,,CFDBS,NMFS/NEFSC,nd
37,GB,American_plaice,1966,0.013262573,,,,,,CFDBS,NMFS/NEFSC,nd
38,GB,American_plaice,1967,0.010151431,,,,,,CFDBS,NMFS/NEFSC,nd
39,GB,American_plaice,1968,0.010211332,,,,,,CFDBS,NMFS/NEFSC,nd
40,GB,American_plaice,1969,0.018592743,,,,,,CFDBS,NMFS/NEFSC,nd
41,GB,American_plaice,1970,0.015269162,,,,,,CFDBS,NMFS/NEFSC,nd
42,GB,American_plaice,1971,0.015497945,,,,,,CFDBS,NMFS/NEFSC,nd
43,GB,American_plaice,1972,0.010747074,,,,,,CFDBS,NMFS/NEFSC,nd
44,GB,American_plaice,1973,0.005907946,,,,,,CFDBS,NMFS/NEFSC,nd
45,GB,American_plaice,1974,0.007023648,,,,,,CFDBS,NMFS/NEFSC,nd
46,GB,American_plaice,1975,0.006049581,,,,,,CFDBS,NMFS/NEFSC,nd
47,GB,American_plaice,1976,0.0037389,,,,,,CFDBS,NMFS/NEFSC,nd
48,GB,American_plaice,1977,0.0081232,,,,,,CFDBS,NMFS/NEFSC,nd
49,GB,American_plaice,1978,0.007319054,,,,,,CFDBS,NMFS/NEFSC,nd
50,GB,American_plaice,1979,0.005267315,,,,,,CFDBS,NMFS/NEFSC,nd
51,GB,American_plaice,1980,0.010742547,,,,,,CFDBS,NMFS/NEFSC,nd
52,GB,American_plaice,1981,0.007839107,,,,,,CFDBS,NMFS/NEFSC,nd
53,GB,American_plaice,1982,0.0271181,,,,,,CFDBS,NMFS/NEFSC,nd
54,GB,American_plaice,1983,0.013008584,,,,,,CFDBS,NMFS/NEFSC,nd
55,GB,American_plaice,1984,0.010917112,,,,,,CFDBS,NMFS/NEFSC,nd
56,GB,American_plaice,1985,0.010972964,,,,,,CFDBS,NMFS/NEFSC,nd
57,GB,American_plaice,1986,0.0047983,,,,,,CFDBS,NMFS/NEFSC,nd
58,GB,American_plaice,1987,0.008574889,,,,,,CFDBS,NMFS/NEFSC,nd
59,GB,American_plaice,1988,0.003923302,,,,,,CFDBS,NMFS/NEFSC,nd
60,GB,American_plaice,1989,0.006878346,,,,,,CFDBS,NMFS/NEFSC,nd
61,GB,American_plaice,1990,0.002469309,,,,,,CFDBS,NMFS/NEFSC,nd
62,GB,American_plaice,1991,0.006078227,,,,,,CFDBS,NMFS/NEFSC,nd
63,GB,American_plaice,1992,0.014554076,,,,,,CFDBS,NMFS/NEFSC,nd
64,GB,American_plaice,1993,0.006267939,,,,,,CFDBS,NMFS/NEFSC,nd
65,GB,American_plaice,1994,0.005258738,,,,,,CFDBS,NMFS/NEFSC,nd
66,GB,American_plaice,1995,0.006511217,,,,,,CFDBS,NMFS/NEFSC,nd
67,GB,American_plaice,1996,0.007418978,,,,,,CFDBS,NMFS/NEFSC,nd
68,GB,American_plaice,1997,0.008620348,,,,,,CFDBS,NMFS/NEFSC,nd
69,GB,American_plaice,1998,0.008858021,,,,,,CFDBS,NMFS/NEFSC,nd
70,GB,American_plaice,1999,0.007812575,,,,,,CFDBS,NMFS/NEFSC,nd
71,GB,American_plaice,2000,0.012761607,,,,,,CFDBS,NMFS/NEFSC,nd
72,GB,American_plaice,2001,0.004660986,,,,,,CFDBS,NMFS/NEFSC,nd
73,GB,American_plaice,2002,0.008623361,,,,,,CFDBS,NMFS/NEFSC,nd
74,GB,American_plaice,2003,0.022954467,,,,,,CFDBS,NMFS/NEFSC,nd
75,GB,American_plaice,2004,0.003595378,,,,,,CFDBS,NMFS/NEFSC,nd
76,GB,American_plaice,2005,0.00248798,,,,,,CFDBS,NMFS/NEFSC,nd
77,GB,American_plaice,2006,0.008161814,,,,,,CFDBS,NMFS/NEFSC,nd
78,GB,American_plaice,2007,0.005824039,,,,,,CFDBS,NMFS/NEFSC,nd
79,GB,American_plaice,2008,0.00478439,,,,,,CFDBS,NMFS/NEFSC,nd
80,GB,American_plaice,2009,0.009051991,,,,,,CFDBS,NMFS/NEFSC,nd
81,GB,Atlantic_butterfish,1965,0.008266265,,,,,,CFDBS,NMFS/NEFSC,nd
82,GB,Atlantic_butterfish,1966,0.011394223,,,,,,CFDBS,NMFS/NEFSC,nd
83,GB,Atlantic_butterfish,1967,0.017029629,,,,,,CFDBS,NMFS/NEFSC,nd
84,GB,Atlantic_butterfish,1968,0.009305237,,,,,,CFDBS,NMFS/NEFSC,nd
85,GB,Atlantic_butterfish,1969,0.026268389,,,,,,CFDBS,NMFS/NEFSC,nd
86,GB,Atlantic_butterfish,1970,0.013623401,,,,,,CFDBS,NMFS/NEFSC,nd
87,GB,Atlantic_butterfish,1971,0.015475913,,,,,,CFDBS,NMFS/NEFSC,nd
88,GB,Atlantic_butterfish,1972,0.014868839,,,,,,CFDBS,NMFS/NEFSC,nd
89,GB,Atlantic_butterfish,1973,0.02914794,,,,,,CFDBS,NMFS/NEFSC,nd
90,GB,Atlantic_butterfish,1974,0.028824237,,,,,,CFDBS,NMFS/NEFSC,nd
91,GB,Atlantic_butterfish,1975,0.034275005,,,,,,CFDBS,NMFS/NEFSC,nd
92,GB,Atlantic_butterfish,1976,0.041755032,,,,,,CFDBS,NMFS/NEFSC,nd
93,GB,Atlantic_butterfish,1977,0.004408999,,,,,,CFDBS,NMFS/NEFSC,nd
94,GB,Atlantic_butterfish,1978,0.008229149,,,,,,CFDBS,NMFS/NEFSC,nd
95,GB,Atlantic_butterfish,1979,0.002881212,,,,,,CFDBS,NMFS/NEFSC,nd
96,GB,Atlantic_butterfish,1980,0.005633209,,,,,,CFDBS,NMFS/NEFSC,nd
97,GB,Atlantic_butterfish,1981,0.014198657,,,,,,CFDBS,NMFS/NEFSC,nd
98,GB,Atlantic_butterfish,1982,0.014069691,,,,,,CFDBS,NMFS/NEFSC,nd
99,GB,Atlantic_butterfish,1983,0.011438309,,,,,,CFDBS,NMFS/NEFSC,nd
100,GB,Atlantic_butterfish,1984,0.008614383,,,,,,CFDBS,NMFS/NEFSC,nd
101,GB,Atlantic_butterfish,1985,0.017717819,,,,,,CFDBS,NMFS/NEFSC,nd
102,GB,Atlantic_butterfish,1986,0.01026815,,,,,,CFDBS,NMFS/NEFSC,nd
103,GB,Atlantic_butterfish,1987,0.002143004,,,,,,CFDBS,NMFS/NEFSC,nd
104,GB,Atlantic_butterfish,1988,0.004887905,,,,,,CFDBS,NMFS/NEFSC,nd
105,GB,Atlantic_butterfish,1989,0.001147734,,,,,,CFDBS,NMFS/NEFSC,nd
106,GB,Atlantic_butterfish,1990,0.003837464,,,,,,CFDBS,NMFS/NEFSC,nd
107,GB,Atlantic_butterfish,1991,0.006316171,,,,,,CFDBS,NMFS/NEFSC,nd
108,GB,Atlantic_butterfish,1992,0.006429411,,,,,,CFDBS,NMFS/NEFSC,nd
109,GB,Atlantic_butterfish,1993,0.014275678,,,,,,CFDBS,NMFS/NEFSC,nd
110,GB,Atlantic_butterfish,1994,0.010149313,,,,,,CFDBS,NMFS/NEFSC,nd
111,GB,Atlantic_butterfish,1995,0.022257625,,,,,,CFDBS,NMFS/NEFSC,nd
112,GB,Atlantic_butterfish,1996,0.010245621,,,,,,CFDBS,NMFS/NEFSC,nd
113,GB,Atlantic_butterfish,1997,0.008148195,,,,,,CFDBS,NMFS/NEFSC,nd
114,GB,Atlantic_butterfish,1998,0.011972843,,,,,,CFDBS,NMFS/NEFSC,nd
115,GB,Atlantic_butterfish,1999,0.005775027,,,,,,CFDBS,NMFS/NEFSC,nd
116,GB,Atlantic_butterfish,2000,0.002360602,,,,,,CFDBS,NMFS/NEFSC,nd
117,GB,Atlantic_butterfish,2001,0.027172664,,,,,,CFDBS,NMFS/NEFSC,nd
118,GB,Atlantic_butterfish,2002,0.001227844,,,,,,CFDBS,NMFS/NEFSC,nd
119,GB,Atlantic_butterfish,2003,0.001832688,,,,,,CFDBS,NMFS/NEFSC,nd
120,GB,Atlantic_butterfish,2004,0.001037789,,,,,,CFDBS,NMFS/NEFSC,nd
121,GB,Atlantic_butterfish,2005,0.001124085,,,,,,CFDBS,NMFS/NEFSC,nd
122,GB,Atlantic_butterfish,2006,0.000864139,,,,,,CFDBS,NMFS/NEFSC,nd
123,GB,Atlantic_butterfish,2007,0.001334099,,,,,,CFDBS,NMFS/NEFSC,nd
124,GB,Atlantic_butterfish,2008,0.000290619,,,,,,CFDBS,NMFS/NEFSC,nd
125,GB,Atlantic_butterfish,2009,0.000827007,,,,,,CFDBS,NMFS/NEFSC,nd
126,GB,Atlantic_cod,1963,0.244881509,,,,,,CFDBS,NMFS/NEFSC,nd
127,GB,Atlantic_cod,1964,0.15135474,,,,,,CFDBS,NMFS/NEFSC,nd
128,GB,Atlantic_cod,1965,0.171234103,,,,,,CFDBS,NMFS/NEFSC,nd
129,GB,Atlantic_cod,1966,0.295991287,,,,,,CFDBS,NMFS/NEFSC,nd
130,GB,Atlantic_cod,1967,0.407788579,,,,,,CFDBS,NMFS/NEFSC,nd
131,GB,Atlantic_cod,1968,0.273987071,,,,,,CFDBS,NMFS/NEFSC,nd
132,GB,Atlantic_cod,1969,0.309490682,,,,,,CFDBS,NMFS/NEFSC,nd
133,GB,Atlantic_cod,1970,0.302126529,,,,,,CFDBS,NMFS/NEFSC,nd
134,GB,Atlantic_cod,1971,0.320017089,,,,,,CFDBS,NMFS/NEFSC,nd
135,GB,Atlantic_cod,1972,0.358915271,,,,,,CFDBS,NMFS/NEFSC,nd
136,GB,Atlantic_cod,1973,0.548612436,,,,,,CFDBS,NMFS/NEFSC,nd
137,GB,Atlantic_cod,1974,0.476778371,,,,,,CFDBS,NMFS/NEFSC,nd
138,GB,Atlantic_cod,1975,0.421001954,,,,,,CFDBS,NMFS/NEFSC,nd
139,GB,Atlantic_cod,1976,0.302349466,,,,,,CFDBS,NMFS/NEFSC,nd
140,GB,Atlantic_cod,1977,0.381463659,,,,,,CFDBS,NMFS/NEFSC,nd
141,GB,Atlantic_cod,1978,0.531649826,,,,,,CFDBS,NMFS/NEFSC,nd
142,GB,Atlantic_cod,1979,0.515492656,,,,,,CFDBS,NMFS/NEFSC,nd
143,GB,Atlantic_cod,1980,0.583616856,,,,,,CFDBS,NMFS/NEFSC,nd
144,GB,Atlantic_cod,1981,0.521025734,,,,,,CFDBS,NMFS/NEFSC,nd
145,GB,Atlantic_cod,1982,1.258736666,,,,,,CFDBS,NMFS/NEFSC,nd
146,GB,Atlantic_cod,1983,0.662472485,,,,,,CFDBS,NMFS/NEFSC,nd
147,GB,Atlantic_cod,1984,0.57606096,,,,,,CFDBS,NMFS/NEFSC,nd
148,GB,Atlantic_cod,1985,0.559046135,,,,,,CFDBS,NMFS/NEFSC,nd
