,ecosystem,species,year,biomass,abundance,biomass_index,abundance_index,avg_len,avg_mass,source,agency,season,species_lower
78,CB,Bay_anchovy_YOY,1988,,,,18.25,0.046,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
79,CB,Bay_anchovy_YOY,1989,,,,52.47,0.044,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
80,CB,Bay_anchovy_YOY,1990,,,,6.79,0.0468,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
81,CB,Bay_anchovy_YOY,1991,,,,22.51,0.0451,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
82,CB,Bay_anchovy_YOY,1992,,,,40.14,0.0474,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
83,CB,Bay_anchovy_YOY,1993,,,,43.31,0.046,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
84,CB,Bay_anchovy_YOY,1994,,,,14.67,0.0467,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
85,CB,Bay_anchovy_YOY,1995,,,,18.36,0.0476,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
86,CB,Bay_anchovy_YOY,1996,,,,15.31,0.0452,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
87,CB,Bay_anchovy_YOY,1997,,,,18.96,0.0453,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
88,CB,Bay_anchovy_YOY,1998,,,,30.26,0.047,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
89,CB,Bay_anchovy_YOY,1999,,,,15.47,0.0455,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
90,CB,Bay_anchovy_YOY,2000,,,,36.58,0.0431,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
91,CB,Bay_anchovy_YOY,2001,,,,9.55,0.0466,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
92,CB,Bay_anchovy_YOY,2002,,,,5.51,0.0475,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
93,CB,Bay_anchovy_YOY,2003,,,,18.03,0.0477,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
94,CB,Bay_anchovy_YOY,2004,,,,23.06,0.0461,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
95,CB,Bay_anchovy_YOY,2005,,,,22.27,0.0484,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
96,CB,Bay_anchovy_YOY,2006,,,,19.31,0.0461,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
97,CB,Bay_anchovy_YOY,2007,,,,23.76,0.0468,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
98,CB,Bay_anchovy_YOY,2008,,,,50.29,0.0436,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
99,CB,Bay_anchovy_YOY,2009,,,,30.12,0.048,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
100,CB,Bay_anchovy_YOY,2010,,,,84.92,0.0463,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec,bay_anchovy_yoy
101,CB,Black_sea_bass_YOY,1988,,,,0.84,0.0902,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
102,CB,Black_sea_bass_YOY,1989,,,,2.36,0.099,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
103,CB,Black_sea_bass_YOY,1990,,,,1.12,0.0935,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
104,CB,Black_sea_bass_YOY,1991,,,,1.28,0.0926,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
105,CB,Black_sea_bass_YOY,1992,,,,0.22,0.0947,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
106,CB,Black_sea_bass_YOY,1993,,,,1.05,0.0859,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
107,CB,Black_sea_bass_YOY,1994,,,,1.06,0.0982,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
108,CB,Black_sea_bass_YOY,1995,,,,0.5,0.1045,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
109,CB,Black_sea_bass_YOY,1996,,,,0.36,0.0962,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
110,CB,Black_sea_bass_YOY,1997,,,,0.46,0.0942,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
111,CB,Black_sea_bass_YOY,1998,,,,0.57,0.0909,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
112,CB,Black_sea_bass_YOY,1999,,,,0.58,0.1002,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
113,CB,Black_sea_bass_YOY,2000,,,,0.74,0.0931,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
114,CB,Black_sea_bass_YOY,2001,,,,1.29,0.1016,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
115,CB,Black_sea_bass_YOY,2002,,,,0.64,0.0893,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
116,CB,Black_sea_bass_YOY,2003,,,,0.12,0.1022,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
117,CB,Black_sea_bass_YOY,2004,,,,0.06,0.077,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
118,CB,Black_sea_bass_YOY,2005,,,,0.19,0.0916,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
119,CB,Black_sea_bass_YOY,2006,,,,0.44,0.0949,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
120,CB,Black_sea_bass_YOY,2007,,,,0.83,0.098,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
121,CB,Black_sea_bass_YOY,2008,,,,0.41,0.088,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
122,CB,Black_sea_bass_YOY,2009,,,,0.32,0.1073,,VIMS_Juvenile_Trawl,VIMS,May-Jul,black_sea_bass_yoy
176,CB,Blue_catfish_YOY,1988,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
177,CB,Blue_catfish_YOY,1989,,,,0.43,0.1222,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
178,CB,Blue_catfish_YOY,1990,,,,0.14,0.1306,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
179,CB,Blue_catfish_YOY,1991,,,,0.39,0.1545,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
180,CB,Blue_catfish_YOY,1992,,,,0.36,0.1412,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
181,CB,Blue_catfish_YOY,1993,,,,0.18,0.129,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
182,CB,Blue_catfish_YOY,1994,,,,0.17,0.1383,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
183,CB,Blue_catfish_YOY,1995,,,,0.64,0.1157,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
184,CB,Blue_catfish_YOY,1996,,,,0.92,0.1226,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
185,CB,Blue_catfish_YOY,1997,,,,2.4,0.1315,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
186,CB,Blue_catfish_YOY,1998,,,,0.31,0.1464,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
187,CB,Blue_catfish_YOY,1999,,,,0.14,0.1582,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
188,CB,Blue_catfish_YOY,2000,,,,0.22,0.1153,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
189,CB,Blue_catfish_YOY,2001,,,,0.02,0.1675,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
190,CB,Blue_catfish_YOY,2002,,,,0.61,0.1204,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
191,CB,Blue_catfish_YOY,2003,,,,1.33,0.0942,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
192,CB,Blue_catfish_YOY,2004,,,,1.82,0.1257,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
193,CB,Blue_catfish_YOY,2005,,,,2.59,0.1478,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
194,CB,Blue_catfish_YOY,2006,,,,1.52,0.1341,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
195,CB,Blue_catfish_YOY,2007,,,,0.6,0.151,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
196,CB,Blue_catfish_YOY,2008,,,,0.54,0.1288,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
197,CB,Blue_catfish_YOY,2009,,,,0.88,0.1195,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,blue_catfish_yoy
239,CB,Blue_crab_YOY,1988,,,,2.48,0.0401,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
240,CB,Blue_crab_YOY,1989,,,,10.19,0.0369,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
241,CB,Blue_crab_YOY,1990,,,,11.15,0.0426,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
242,CB,Blue_crab_YOY,1991,,,,7.07,0.039,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
243,CB,Blue_crab_YOY,1992,,,,4.87,0.037,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
244,CB,Blue_crab_YOY,1993,,,,5.84,0.0346,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
245,CB,Blue_crab_YOY,1994,,,,2.71,0.0359,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
246,CB,Blue_crab_YOY,1995,,,,11.14,0.0369,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
