,year,anomaly of temperature (K),total error variance (K**2),high-frequency error variance (K**2),low-frequency error variance (K**2),bias error variance (K**2)
index,1880,-0.261522,0.003293,0.000073,0.000850,0.002371
0,1881,-0.197709,0.003328,7.3e-05,0.000877,0.002378
1,1882,-0.207949,0.003306,7.3e-05,0.000897,0.002336
2,1883,-0.250376,0.003284,7.3e-05,0.00091,0.002302
3,1884,-0.327371,0.003231,7.3e-05,0.000922,0.002236
4,1885,-0.368617,0.003189,7.3e-05,0.000939,0.002177
5,1886,-0.357636,0.003165,7.3e-05,0.000955,0.002138
6,1887,-0.42307,0.003151,7.3e-05,0.000969,0.00211
7,1888,-0.285665,0.003128,2.5e-05,0.000979,0.002123
8,1889,-0.261426,0.00332,0.000181,0.001002,0.002137
9,1890,-0.494139,0.003408,0.000236,0.001029,0.002144
10,1891,-0.364952,0.003347,0.000151,0.001054,0.002141
11,1892,-0.452295,0.003361,0.000157,0.001071,0.002133
12,1893,-0.453012,0.003396,0.000225,0.001073,0.002099
13,1894,-0.472256,0.003385,0.000229,0.001057,0.002099
14,1895,-0.374801,0.003483,0.000308,0.001016,0.00216
15,1896,-0.243469,0.00381,0.000604,0.000953,0.002253
16,1897,-0.271194,0.004513,0.00123,0.000886,0.002396
17,1898,-0.436036,0.004249,0.000872,0.000822,0.002556
18,1899,-0.319519,0.004416,0.000878,0.000755,0.002782
19,1900,-0.266948,0.004365,0.000671,0.000683,0.003012
20,1901,-0.378121,0.004429,0.000573,0.00061,0.003246
21,1902,-0.434583,0.004136,0.000105,0.000536,0.003494
22,1903,-0.539336,0.004192,2.5e-05,0.000457,0.003709
23,1904,-0.624058,0.004336,2.5e-05,0.000373,0.003938
24,1905,-0.461249,0.004744,0.000282,0.000293,0.004169
25,1906,-0.442509,0.00506,0.000383,0.000222,0.004454
26,1907,-0.509632,0.006168,0.001363,0.000161,0.004645
27,1908,-0.645873,0.006706,0.001866,0.000109,0.004732
28,1909,-0.661379,0.006044,0.001201,6.9e-05,0.004774
29,1910,-0.619335,0.005551,0.000761,4.5e-05,0.004745
30,1911,-0.650514,0.00548,0.000791,3.6e-05,0.004654
31,1912,-0.484436,0.005412,0.000795,3.1e-05,0.004586
32,1913,-0.53114,0.005037,0.00045,2.6e-05,0.004561
33,1914,-0.384593,0.004704,8.6e-05,2.3e-05,0.004595
34,1915,-0.293042,0.004861,8.6e-05,2e-05,0.004755
35,1916,-0.48008,0.005149,0.000181,1.6e-05,0.004952
36,1917,-0.446679,0.005392,0.000208,1.3e-05,0.005172
37,1918,-0.347955,0.005479,8.9e-05,9e-06,0.005382
38,1919,-0.365265,0.005673,2.5e-05,6e-06,0.005642
39,1920,-0.397759,0.006013,2.7e-05,6e-06,0.00598
40,1921,-0.399265,0.006415,0.000167,6e-06,0.006242
41,1922,-0.448306,0.006749,0.000112,6e-06,0.006632
42,1923,-0.437732,0.007405,0.000229,6e-06,0.007171
43,1924,-0.468683,0.007932,0.000203,7e-06,0.007722
44,1925,-0.384117,0.008576,0.000225,6e-06,0.008344
45,1926,-0.306201,0.009124,0.000232,6e-06,0.008886
46,1927,-0.367494,0.009697,0.000285,6e-06,0.009405
47,1928,-0.419888,0.010243,0.000302,6e-06,0.009935
48,1929,-0.470625,0.010791,0.000316,6e-06,0.010469
49,1930,-0.322629,0.011092,0.000144,6e-06,0.010942
50,1931,-0.306015,0.011547,0.000143,7e-06,0.011397
51,1932,-0.378392,0.011971,0.000181,9e-06,0.011781
52,1933,-0.430711,0.012053,2.5e-05,1.2e-05,0.012016
53,1934,-0.356584,0.012309,0.000233,1.9e-05,0.012058
54,1935,-0.356936,0.012059,0.00018,2.6e-05,0.011853
55,1936,-0.331347,0.011584,0.000145,3.3e-05,0.011407
56,1937,-0.229263,0.011267,0.000333,4.1e-05,0.010894
57,1938,-0.322951,0.010458,7.6e-05,5.3e-05,0.01033
58,1939,-0.271815,0.011252,0.001096,6.7e-05,0.010088
59,1940,-0.097419,0.014998,0.004641,8.4e-05,0.010273
60,1941,0.027143,0.017881,0.007166,9.9e-05,0.010616
61,1942,-0.021711,0.019041,0.008219,0.000112,0.01071
62,1943,-0.021932,0.019198,0.008267,0.000123,0.010807
63,1944,0.122292,0.017559,0.006781,0.000131,0.010646
64,1945,0.087095,0.016915,0.006293,0.000133,0.010489
65,1946,-0.213756,0.014531,0.004164,0.000132,0.010234
66,1947,-0.309607,0.012245,0.002136,0.00013,0.009979
67,1948,-0.304333,0.011608,0.001751,0.000126,0.009731
68,1949,-0.274217,0.011436,0.001772,0.000119,0.009544
69,1950,-0.307129,0.01273,0.003161,0.000112,0.009457
70,1951,-0.205067,0.01396,0.00427,0.000105,0.009585
71,1952,-0.145122,0.012074,0.002215,9.7e-05,0.009762
72,1953,-0.148078,0.010037,5.7e-05,8.5e-05,0.009895
73,1954,-0.311899,0.009873,2.5e-05,7e-05,0.009779
74,1955,-0.351771,0.009204,2.5e-05,5.3e-05,0.009127
75,1956,-0.326382,0.008672,2.5e-05,3.7e-05,0.00861
76,1957,-0.124014,0.008663,0.000293,2.4e-05,0.008346
77,1958,-0.108083,0.008365,0.000287,1.3e-05,0.008065
78,1959,-0.152427,0.008237,0.000289,5e-06,0.007943
79,1960,-0.169114,0.007796,0.000241,3e-06,0.007552
80,1961,-0.147045,0.007293,0.000168,2e-06,0.007122
81,1962,-0.150691,0.007037,0.000316,3e-06,0.006718
82,1963,-0.144481,0.006501,8.8e-05,3e-06,0.006409
83,1964,-0.328631,0.006126,2.5e-05,4e-06,0.006097
84,1965,-0.271879,0.005807,4.7e-05,5e-06,0.005755
85,1966,-0.219071,0.00547,6.9e-05,5e-06,0.005396
86,1967,-0.23367,0.005097,7.9e-05,5e-06,0.005014
87,1968,-0.212185,0.004824,0.000113,5e-06,0.004707
88,1969,-0.048903,0.004461,9.5e-05,5e-06,0.004362
89,1970,-0.171457,0.004426,0.000288,6e-06,0.004132
90,1971,-0.309586,0.004006,0.000159,7e-06,0.00384
91,1972,-0.11406,0.003877,0.00032,8e-06,0.003549
92,1973,-0.102239,0.003676,0.000466,1e-05,0.003201
93,1974,-0.236382,0.003339,0.000471,1.1e-05,0.002858
94,1975,-0.259811,0.003272,0.000469,1.2e-05,0.002791
95,1976,-0.227668,0.00327,0.000496,1.2e-05,0.002762
96,1977,-0.022303,0.002817,0.00011,1.2e-05,0.002696
97,1978,-0.092091,0.00292,0.000215,1.2e-05,0.002693
98,1979,0.038199,0.002947,0.000136,1.2e-05,0.002799
99,1980,0.042796,0.003212,0.000133,1.3e-05,0.003067
100,1981,0.011985,0.003482,6.6e-05,1.4e-05,0.003402
101,1982,-0.002055,0.00381,6.9e-05,1.4e-05,0.003726
102,1983,0.068448,0.004004,2.5e-05,1.5e-05,0.003965
103,1984,-0.033458,0.004301,0.000163,1.5e-05,0.004123
104,1985,-0.061268,0.004285,9.3e-05,1.4e-05,0.004178
105,1986,-0.007711,0.004238,0.000126,1.3e-05,0.004099
106,1987,0.136457,0.004164,0.000142,1.2e-05,0.004011
107,1988,0.091051,0.004108,0.000168,1e-05,0.00393
108,1989,0.043625,0.004011,0.000162,9e-06,0.003841
109,1990,0.15256,0.003712,4.4e-05,8e-06,0.00366
110,1991,0.138813,0.003639,2.5e-05,7e-06,0.003607
111,1992,0.037411,0.003645,2.5e-05,7e-06,0.003613
112,1993,0.041674,0.003701,2.5e-05,6e-06,0.00367
113,1994,0.080072,0.003758,2.5e-05,6e-06,0.003727
114,1995,0.123482,0.003804,2.5e-05,5e-06,0.003774
115,1996,0.092634,0.003858,2.5e-05,4e-06,0.003829
116,1997,0.238149,0.003932,2.5e-05,3e-06,0.003905
117,1998,0.296104,0.004145,5.9e-05,2e-06,0.004084
118,1999,0.094627,0.004442,0.00015,2e-06,0.00429
119,2000,0.129737,0.004603,4.2e-05,1e-06,0.00456
120,2001,0.225238,0.004874,2.5e-05,2e-06,0.004847
121,2002,0.26038,0.005147,2.5e-05,2e-06,0.00512
122,2003,0.292475,0.005414,2.5e-05,2e-06,0.005387
123,2004,0.275325,0.005697,4e-05,2e-06,0.005655
124,2005,0.296317,0.005994,5.1e-05,2e-06,0.00594
125,2006,0.284474,0.006366,0.000203,2e-06,0.006161
126,2007,0.214211,0.006617,0.000252,2e-06,0.006364
127,2008,0.204558,0.00656,3.1e-05,2e-06,0.006526
128,2009,0.329341,0.006672,2.5e-05,2e-06,0.006645
129,2010,0.342093,0.006731,2.5e-05,2e-06,0.006703
130,2011,0.240056,0.006759,2.5e-05,2e-06,0.006732
131,2012,0.29604,0.006779,2.5e-05,2e-06,0.006752
132,2013,0.327718,0.006762,2.5e-05,2e-06,0.006735
133,2014,0.421128,0.006762,2.5e-05,2e-06,0.006735
134,2015,0.523553,0.006762,2.5e-05,2e-06,0.006735
135,2016,0.541199,0.006762,2.5e-05,2e-06,0.006735
136,2017,0.457943,0.007992,2.5e-05,2e-06,0.006735
