,County,FIPS,Year,Occupied_Housing_Units,Total_Housing_Units,Ownership_Proportion
0,"Las Marías Municipio, Puerto Rico",72083,2010,2440,3509,0.695354801937874
1,"San Germán Municipio, Puerto Rico",72125,2010,8963,12074,0.7423389100546629
2,"Comerío Municipio, Puerto Rico",72045,2010,4535,6459,0.7021210713732776
3,"Canóvanas Municipio, Puerto Rico",72029,2010,11357,13837,0.820770398207704
4,"Rincón Municipio, Puerto Rico",72117,2010,4346,5504,0.7896075581395349
5,"Guánica Municipio, Puerto Rico",72055,2010,4409,6432,0.685478855721393
6,"Añasco Municipio, Puerto Rico",72011,2010,7423,9215,0.8055344546934347
7,"San Sebastián Municipio, Puerto Rico",72131,2010,9376,12668,0.740132617619198
8,"Cataño Municipio, Puerto Rico",72033,2010,6017,9486,0.634303183639047
9,"Loíza Municipio, Puerto Rico",72087,2010,7175,9069,0.7911566876171573
10,"Juana Díaz Municipio, Puerto Rico",72075,2010,11793,15466,0.762511315142894
11,"Río Grande Municipio, Puerto Rico",72119,2010,13543,16775,0.8073323397913562
12,"Bayamón Municipio, Puerto Rico",72021,2010,53307,72259,0.7377212527159247
13,"Peñuelas Municipio, Puerto Rico",72111,2010,5699,7234,0.7878075753386785
14,"Mayagüez Municipio, Puerto Rico",72097,2010,19866,32521,0.6108668245133914
15,"Merced County, California",06047,2010,41135,73586,0.5590057891446742
16,"Modoc County, California",06049,2010,2790,3977,0.701533819461906
17,"Mono County, California",06051,2010,2978,5283,0.5636948703388226
18,"Monterey County, California",06053,2010,66731,124963,0.5340060657954755
19,"Napa County, California",06055,2010,31996,49179,0.6506028996116229
20,"Nevada County, California",06057,2010,30531,41255,0.7400557508180826
21,"Orange County, California",06059,2010,599032,984503,0.6084613251559416
22,"Placer County, California",06061,2010,94206,129153,0.7294139508954496
23,"Plumas County, California",06063,2010,6615,10090,0.655599603567889
24,"Riverside County, California",06065,2010,467086,666906,0.7003775644543608
25,"Sacramento County, California",06067,2010,302429,508499,0.5947484655820365
26,"San Benito County, California",06069,2010,10807,16812,0.6428146561979539
27,"San Bernardino County, California",06071,2010,388167,596125,0.6511503459844831
28,"San Diego County, California",06073,2010,593945,1061789,0.5593813836835756
29,"San Francisco County, California",06075,2010,126028,335956,0.3751324578218576
30,"San Joaquin County, California",06077,2010,131357,212905,0.6169747070289566
31,"San Luis Obispo County, California",06079,2010,62880,102434,0.6138586797352441
32,"San Mateo County, California",06081,2010,156149,255758,0.6105341768390432
33,"Santa Barbara County, California",06083,2010,76757,141793,0.5413313774304797
34,"Santa Clara County, California",06085,2010,353399,596747,0.5922090936359965
35,"Santa Cruz County, California",06087,2010,55878,93802,0.5957015841879704
36,"Shasta County, California",06089,2010,45574,69100,0.6595369030390738
37,"Sierra County, California",06091,2010,1151,1437,0.8009742519137091
38,"Siskiyou County, California",06093,2010,13098,20097,0.651739065532169
39,"Solano County, California",06095,2010,91447,139011,0.6578400270482192
40,"Sonoma County, California",06097,2010,114787,184033,0.6237305265903398
41,"Stanislaus County, California",06099,2010,101826,163841,0.6214927887403031
42,"Sutter County, California",06101,2010,19380,31373,0.6177286201510853
43,"Tehama County, California",06103,2010,15316,23510,0.6514674606550404
44,"Trinity County, California",06105,2010,4328,5889,0.7349295296315164
45,"Tulare County, California",06107,2010,75081,126664,0.5927572159413882
46,"Tuolumne County, California",06109,2010,15580,22192,0.702054794520548
47,"Ventura County, California",06111,2010,175452,264305,0.6638239912222622
48,"Yolo County, California",06113,2010,37548,69386,0.541146629002969
49,"Yuba County, California",06115,2010,14214,23750,0.5984842105263158
50,"Adams County, Colorado",08001,2010,101137,147951,0.6835844299801962
51,"Alamosa County, Colorado",08003,2010,3664,5798,0.6319420489824077
52,"Arapahoe County, Colorado",08005,2010,144347,218909,0.6593927156946494
53,"Archuleta County, Colorado",08007,2010,2799,3377,0.8288421676043826
54,"Baca County, Colorado",08009,2010,1260,1682,0.7491082045184304
55,"Bent County, Colorado",08011,2010,1305,1935,0.6744186046511628
56,"Boulder County, Colorado",08013,2010,75189,117629,0.639204617908849
57,"Broomfield County, Colorado",08014,2010,14963,20116,0.7438357526347187
58,"Chaffee County, Colorado",08015,2010,5689,7396,0.7691995673336939
59,"Cheyenne County, Colorado",08017,2010,667,829,0.804583835946924
60,"Clear Creek County, Colorado",08019,2010,3387,4164,0.8134005763688761
61,"Conejos County, Colorado",08021,2010,2364,3121,0.7574495354053188
62,"Costilla County, Colorado",08023,2010,1085,1454,0.7462173314993122
63,"Crowley County, Colorado",08025,2010,861,1163,0.7403267411865864
64,"Custer County, Colorado",08027,2010,1489,1850,0.8048648648648649
65,"Delta County, Colorado",08029,2010,9431,12700,0.7425984251968504
66,"Denver County, Colorado",08031,2010,133552,254181,0.5254208615120721
67,"Dolores County, Colorado",08033,2010,626,799,0.7834793491864831
68,"Douglas County, Colorado",08035,2010,81496,98725,0.8254849328944036
69,"Eagle County, Colorado",08037,2010,11869,18183,0.6527525710828797
70,"Elbert County, Colorado",08039,2010,7430,8135,0.9133374308543332
71,"El Paso County, Colorado",08041,2010,151369,227151,0.6663805134029787
72,"Fremont County, Colorado",08043,2010,12881,16817,0.7659511208895761
73,"Garfield County, Colorado",08045,2010,13473,19970,0.6746619929894843
74,"Gilpin County, Colorado",08047,2010,1817,2530,0.7181818181818181
75,"Grand County, Colorado",08049,2010,4099,5330,0.7690431519699812
76,"Gunnison County, Colorado",08051,2010,3674,6216,0.5910553410553411
77,"Hinsdale County, Colorado",08053,2010,213,255,0.8352941176470589
78,"Huerfano County, Colorado",08055,2010,2273,3154,0.7206721623335447
79,"Jackson County, Colorado",08057,2010,499,690,0.7231884057971014
80,"Jefferson County, Colorado",08059,2010,156081,217018,0.7192076233307836
81,"Kiowa County, Colorado",08061,2010,470,706,0.6657223796033994
82,"Kit Carson County, Colorado",08063,2010,2085,3010,0.6926910299003323
83,"Lake County, Colorado",08065,2010,1824,2725,0.6693577981651376
84,"La Plata County, Colorado",08067,2010,14176,20512,0.6911076443057722
85,"Larimer County, Colorado",08069,2010,79218,117415,0.6746838138227654
86,"Las Animas County, Colorado",08071,2010,4461,6420,0.6948598130841122
87,"Lincoln County, Colorado",08073,2010,1359,1919,0.7081813444502345
88,"Logan County, Colorado",08075,2010,5560,8146,0.6825435796710042
89,"Mesa County, Colorado",08077,2010,41320,57123,0.7233513645991982
90,"Mineral County, Colorado",08079,2010,380,440,0.8636363636363636
91,"Moffat County, Colorado",08081,2010,4025,5360,0.7509328358208955
92,"Montezuma County, Colorado",08083,2010,8027,11027,0.7279405096581119
93,"Montrose County, Colorado",08085,2010,12187,16335,0.7460667278849097
94,"Morgan County, Colorado",08087,2010,7005,10407,0.6731046411069472
95,"Otero County, Colorado",08089,2010,5034,7620,0.6606299212598425
96,"Ouray County, Colorado",08091,2010,1264,1702,0.7426556991774383
97,"Park County, Colorado",08093,2010,6218,7070,0.8794908062234795
98,"Phillips County, Colorado",08095,2010,1369,1867,0.7332619175147295
99,"Pitkin County, Colorado",08097,2010,4635,7417,0.624915734124309
100,"Prowers County, Colorado",08099,2010,3270,4905,0.6666666666666666
101,"Pueblo County, Colorado",08101,2010,42914,61418,0.6987202448793514
102,"Rio Blanco County, Colorado",08103,2010,1941,2621,0.7405570392979779
103,"Rio Grande County, Colorado",08105,2010,2864,3630,0.7889807162534436
104,"Routt County, Colorado",08107,2010,7518,10146,0.7409816676522768
105,"Saguache County, Colorado",08109,2010,1832,2684,0.6825633383010432
106,"San Juan County, Colorado",08111,2010,223,411,0.5425790754257908
107,"San Miguel County, Colorado",08113,2010,2077,3228,0.6434324659231723
108,"Sedgwick County, Colorado",08115,2010,733,1007,0.7279046673286991
109,"Summit County, Colorado",08117,2010,7437,10553,0.7047285132189899
110,"Teller County, Colorado",08119,2010,7821,9004,0.8686139493558418
111,"Washington County, Colorado",08121,2010,1493,2186,0.6829826166514181
112,"Weld County, Colorado",08123,2010,62224,86776,0.7170646261639163
113,"Yuma County, Colorado",08125,2010,2717,3941,0.6894189292057853
114,"Fairfield County, Connecticut",09001,2010,234419,331782,0.7065452616477085
115,"Hartford County, Connecticut",09003,2010,231066,347625,0.6646990291262136
116,"Litchfield County, Connecticut",09005,2010,60345,76688,0.7868897350302525
117,"Middlesex County, Connecticut",09007,2010,50796,66975,0.7584322508398657
118,"New Haven County, Connecticut",09009,2010,216131,330785,0.6533881524252914
119,"New London County, Connecticut",09011,2010,74246,106590,0.6965569002720705
120,"Tolland County, Connecticut",09013,2010,41615,54452,0.7642510835231029
121,"Windham County, Connecticut",09015,2010,31366,44321,0.7077006385234991
122,"Kent County, Delaware",10001,2010,41836,57396,0.7289009687086208
123,"New Castle County, Delaware",10003,2010,141546,198499,0.71308167799334
124,"Sussex County, Delaware",10005,2010,60623,75744,0.8003670257710181
125,"District of Columbia, District of Columbia",11001,2010,111879,257317,0.43479055017740764
126,"Alachua County, Florida",12001,2010,53526,97540,0.5487594832889071
127,"Baker County, Florida",12003,2010,6334,8309,0.7623059333253099
128,"Bay County, Florida",12005,2010,45433,68807,0.6602961907945413
129,"Bradford County, Florida",12007,2010,6905,8931,0.7731497032807076
130,"Brevard County, Florida",12009,2010,168706,220871,0.7638214161207221
131,"Broward County, Florida",12011,2010,463511,668898,0.6929472057025137
132,"Calhoun County, Florida",12013,2010,3520,4765,0.7387198321091291
133,"Charlotte County, Florida",12015,2010,58377,71991,0.8108930282952036
134,"Citrus County, Florida",12017,2010,50720,59974,0.8456998032480741
135,"Clay County, Florida",12019,2010,52847,67493,0.7829997184893248
136,"Collier County, Florida",12021,2010,91397,119517,0.7647196633114954
137,"Columbia County, Florida",12023,2010,17289,24177,0.7151011291723539
138,"DeSoto County, Florida",12027,2010,8367,10656,0.7851914414414415
139,"Dixie County, Florida",12029,2010,4004,4909,0.8156447341617438
140,"Duval County, Florida",12031,2010,208357,330276,0.6308572224442588
141,"Escambia County, Florida",12033,2010,76351,113313,0.6738061828739862
142,"Flagler County, Florida",12035,2010,29330,36182,0.8106240672157426
143,"Franklin County, Florida",12037,2010,3083,4699,0.6560970419238136
144,"Gadsden County, Florida",12039,2010,11551,16303,0.7085199043120898
145,"Gilchrist County, Florida",12041,2010,4812,5976,0.8052208835341366
146,"Glades County, Florida",12043,2010,3384,4165,0.812484993997599
147,"Gulf County, Florida",12045,2010,4125,5347,0.7714606321301665
148,"Hamilton County, Florida",12047,2010,3355,4532,0.7402912621359223
149,"Hardee County, Florida",12049,2010,5748,7694,0.7470756433584611
150,"Hendry County, Florida",12051,2010,7745,11200,0.6915178571428572
151,"Hernando County, Florida",12053,2010,58570,70254,0.8336891849574402
152,"Highlands County, Florida",12055,2010,32267,40374,0.7992024570267994
153,"Hillsborough County, Florida",12057,2010,292728,462447,0.6329979435481256
154,"Holmes County, Florida",12059,2010,5434,6768,0.8028959810874704
155,"Indian River County, Florida",12061,2010,44186,57560,0.7676511466296039
156,"Jackson County, Florida",12063,2010,12939,16767,0.7716943997137233
157,"Jefferson County, Florida",12065,2010,4042,5233,0.7724058857252054
158,"Lafayette County, Florida",12067,2010,1860,2307,0.8062418725617685
159,"Lake County, Florida",12069,2010,92476,117544,0.7867351800176955
160,"Lee County, Florida",12071,2010,183928,245751,0.7484323563281533
161,"Leon County, Florida",12073,2010,60588,109314,0.5542565453647291
162,"Levy County, Florida",12075,2010,12061,15814,0.762678639180473
163,"Liberty County, Florida",12077,2010,1556,2008,0.7749003984063745
164,"Madison County, Florida",12079,2010,5010,6776,0.7393742621015348
165,"Manatee County, Florida",12081,2010,97217,131200,0.7409832317073171
166,"Marion County, Florida",12083,2010,105672,133966,0.7887971574877207
167,"Martin County, Florida",12085,2010,47063,59203,0.7949428238433863
168,"Miami-Dade County, Florida",12086,2010,480532,827556,0.5806640275703396
169,"Monroe County, Florida",12087,2010,19210,29791,0.6448256184753784
170,"Nassau County, Florida",12089,2010,21639,27255,0.7939460649422124
171,"Okaloosa County, Florida",12091,2010,48772,72442,0.6732558460561553
172,"Okeechobee County, Florida",12093,2010,10461,13642,0.766823046474124
173,"Orange County, Florida",12095,2010,243095,406002,0.5987532081122753
174,"Osceola County, Florida",12097,2010,61517,92526,0.6648617685839656
175,"Palm Beach County, Florida",12099,2010,384995,523150,0.7359170410016248
176,"Pasco County, Florida",12101,2010,145614,184813,0.7878991196506739
177,"Pinellas County, Florida",12103,2010,285487,405649,0.7037783896915807
178,"Polk County, Florida",12105,2010,161208,223689,0.7206791572227512
